"gmtNames","gmtDriver"
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1","Unclear"
"REACTOME_TRANSPORT_AND_SYNTHESIS_OF_PAPS","Unclear"
"REACTOME_GLUTATHIONE_SYNTHESIS_AND_RECYCLING","Herbivore"
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE","Unclear"
"REACTOME_PROCESSIVE_SYNTHESIS_ON_THE_C_STRAND_OF_THE_TELOMERE","Both"
"REACTOME_TELOMERE_C_STRAND_LAGGING_STRAND_SYNTHESIS","Both"
"REACTOME_TELOMERE_C_STRAND_SYNTHESIS_INITIATION","Unclear"
"REACTOME_ACTIVATION_OF_C3_AND_C5","Unclear"
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE","Herbivore"
"REACTOME_ASSEMBLY_OF_THE_HIV_VIRION","Unclear"
"REACTOME_INTERACTIONS_OF_VPR_WITH_HOST_CELLULAR_PROTEINS","Unclear"
"REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS","Both"
"REACTOME_CONVERSION_FROM_APC_C_CDC20_TO_APC_C_CDH1_IN_LATE_ANAPHASE","Unclear"
"REACTOME_PHOSPHORYLATION_OF_THE_APC_C","Unclear"
"REACTOME_PHOSPHORYLATION_OF_EMI1","Unclear"
"REACTOME_UNWINDING_OF_DNA","Unclear"
"REACTOME_CONJUGATION_OF_BENZOATE_WITH_GLYCINE","Unclear"
"REACTOME_INTERACTIONS_OF_REV_WITH_HOST_CELLULAR_PROTEINS","Unclear"
"REACTOME_RETROGRADE_NEUROTROPHIN_SIGNALLING","Unclear"
"REACTOME_SIGNALING_BY_EGFR","Both"
"REACTOME_CHONDROITIN_SULFATE_DERMATAN_SULFATE_METABOLISM","Both"
"REACTOME_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","Unclear"
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE","Both"
"REACTOME_DARPP_32_EVENTS","Unclear"
"REACTOME_GAB1_SIGNALOSOME","Unclear"
"REACTOME_SHC1_EVENTS_IN_EGFR_SIGNALING","Unclear"
"REACTOME_APOBEC3G_MEDIATED_RESISTANCE_TO_HIV_1_INFECTION","Unclear"
"REACTOME_NUCLEAR_IMPORT_OF_REV_PROTEIN","Unclear"
"REACTOME_EXTENSION_OF_TELOMERES","Both"
"REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_ZBP1","Unclear"
"REACTOME_SEROTONIN_NEUROTRANSMITTER_RELEASE_CYCLE","Both"
"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE","Both"
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS","Herbivore"
"REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION","Unclear"
"REACTOME_EGFR_DOWNREGULATION","Both"
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES","Unclear"
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA","Unclear"
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS","Insectivore"
"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION","Insectivore"
"REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION","Both"
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE","Both"
"REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL","Unclear"
"REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL","Unclear"
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL","Insectivore"
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","Unclear"
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","Both"
"REACTOME_SIGNALING_BY_PDGF","Both"
"REACTOME_ACTIVATION_OF_TRKA_RECEPTORS","Unclear"
"REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION","Unclear"
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21","Unclear"
"REACTOME_SIGNALLING_TO_ERKS","Unclear"
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN","Unclear"
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE","Herbivore"
"REACTOME_CELLULAR_HEXOSE_TRANSPORT","Insectivore"
"REACTOME_METABOLISM_OF_PORPHYRINS","Herbivore"
"REACTOME_HEME_BIOSYNTHESIS","Herbivore"
"REACTOME_HEME_DEGRADATION","Herbivore"
"REACTOME_SIGNALING_BY_FGFR","Both"
"REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_GAP_JUNCTION_ASSEMBLY","Both"
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE","Unclear"
"REACTOME_GAP_JUNCTION_DEGRADATION","Unclear"
"REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM","Unclear"
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI","Both"
"REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING","Both"
"REACTOME_CHOLESTEROL_BIOSYNTHESIS","Unclear"
