"","names.currentPhenotypeVector.","names.currentCommonPhenotypeVector.","currentPhenotypeVector"
"vs_HLprzAlb1","vs_HLprzAlb1","Thorold's deer","Herbivore"
"vs_HLptePse1","vs_HLptePse1","Bonin flying fox","Herbivore"
"vs_HLpteRuf1","vs_HLpteRuf1","Madagascan flying fox","Herbivore"
"vs_HLratRat7","vs_HLratRat7","Black rat","Omnivore"
"vs_HLrhiUni1","vs_HLrhiUni1","Indian rhinoceros","Herbivore"
"vs_HLsciCar1","vs_HLsciCar1","Eastern gray squirrel","Herbivore"
"vs_HLsylBac1","vs_HLsylBac1","Brush rabbit","Herbivore"
"vs_HLsynCaf1","vs_HLsynCaf1","African buffalo","Herbivore"
"vs_HLtacAcu1","vs_HLtacAcu1","Short-beaked echidna","Insectivore"
"vs_HLtalOcc1","vs_HLtalOcc1","Spanish mole","Insectivore"
"vs_HLtamTet1","vs_HLtamTet1","Southern tamandua","Insectivore"
"vs_HLtaxTax1","vs_HLtaxTax1","American Badger","Vertivore"
"vs_HLtraImb1","vs_HLtraImb1","Lesser kudu","Herbivore"
"vs_HLursAme1","vs_HLursAme1","American black bear","Omnivore"
"vs_HLvicVicMen1","vs_HLvicVicMen1","Peruvian vicuna","Herbivore"
"vs_HLvulVul1","vs_HLvulVul1","Red fox","Vertivore"
