"","main_Rho","Insectivore_Rho","Vertivore_Rho","main_P","Insectivore_P","Vertivore_P","main_p.adj","Insectivore_p.adj","Vertivore_p.adj","Driver","DriverNumeric"
"HOXC8",NA,0.0284095494863564,NA,NA,0.977335507887855,NA,NA,0.992962987144831,NA,"MissingData",5
"MRI1",-1.3848979362973,1.78622071925263,-0.032286044423845,0.996502068950498,0.07406352762132,0.974243938340322,1,0.319705917234082,0.98944170503544,"Insectivore",1
"TARBP1",-2.19991517379011,2.57557044503181,-1.33617216161726,0.166877483634642,0.0100074885515047,0.181493007930936,1,0.114961999951339,0.46745396297447,"Insectivore",1
"RTN4R",1.46379551065094,-1.01710075828521,0.655139619311852,0.859498976681824,0.309105499616579,0.512377865566096,1,0.633862475458872,0.763737815208755,"Both",3
"PSMA4",NA,0.89984433105479,NA,NA,0.368203098917027,NA,NA,0.683329978285561,NA,"MissingData",5
"ZPBP",2.90249942828742,-1.06226499893387,1.93442611938509,0.0222118701359118,0.288115399255374,0.0530607576267424,0.425746302706614,0.61391645938351,0.262247932982434,"Both",3
"LCP2",-0.0889983528632486,0.626741728948373,-0.26340098255785,1,0.530828545729135,0.792241533365742,1,0.796925433665074,0.915883361649917,"Insectivore",1
"DCN",1.97068577237215,-1.40274224674771,2.01317460055464,0.292558973530738,0.160693714480527,0.0440962643073261,1,0.463879682638443,0.239234905207562,"Unclear",0
"TNFRSF17",-0.350452441722474,0.440273638502153,0.114445913774679,1,0.659738931160596,0.908884319137819,1,0.867151178655701,0.965619195640682,"Insectivore",1
"MRPS10",0.682130912445761,1.2965727342724,1.86712894014774,1,0.194778238956837,0.0618835838848513,1,0.513192534988844,0.283411052455062,"Unclear",0
"GRN",0.487683354200372,1.42780518353924,3.42638997005413,1,0.153347940449833,0.000611661520163913,1,0.452341540810071,0.034798256387738,"Vertivore",2
"THAP3",-0.363918092247507,0.352054168049989,0.613582222839782,1,0.724797639314446,0.539491433815168,1,0.895055763163688,0.780057305795931,"Vertivore",2
"VAMP3",0.430972458967589,-0.789879132356719,-0.217666602053612,1,0.429598359314576,0.827688887441028,1,0.73043036477935,0.931554295911849,"Insectivore",1
"RCN1",1.54800251990034,-0.23125499410014,1.83845434835796,0.729730138886955,0.81711670853916,0.0659954829387083,1,0.934498322776494,0.292884875361286,"Vertivore",2
"RFC2",-1.02655159928502,2.49007871460323,0.470194041502764,1,0.0127714806259301,0.638216390809559,1,0.13035889072957,0.838377855346607,"Insectivore",1
"PPP1R3F",-2.00681417984445,2.53281196966702,-1.18381516503909,0.268616714708926,0.0113151631453778,0.236486237785828,1,0.122459801341161,0.52776124933764,"Insectivore",1
"NFE2L3",-3.70284559509043,3.79459608970376,-1.02247241931862,0.00127916788161398,0.000147884002072972,0.306557360002119,0.13324518402688,0.0126698090886048,0.595667613345412,"Insectivore",1
