,Background...Insectivore.Rho,Background...Insectivore.P,Background...Insectivore.p.adj
ACTL6B,0.404107628121833,0.686133575817705,0.878409219684795
KIF22,1.02781618050675,0.30403630355806,0.629711786911909
PRSS22,1.06393117465541,0.287359879308471,0.613791842514178
YTHDC2,-2.53513784756044,0.0112403084914348,0.122360080817775
TMEM161A,2.33248400230782,0.0196752435451872,0.164432478044312
FOXJ2,2.03073981459694,0.0422813952045066,0.242850307117275
GOLGA5,0.977097431311843,0.328520919330895,0.65074707919882
PPP2R5B,-0.0969753084629902,0.922746003004432,0.974300164637596
PYGM,-1.74384532599957,0.0811860644247876,0.333221510765744
BCL3,2.51711624680782,0.0118319784027962,0.125299695228781
PRLH,-0.957874202312522,0.338126196483757,0.659053520660049
FSTL3,0.756691862135246,0.449234491393226,0.744135160642542
EPHA8,0.561720417731158,0.574306520937635,0.823435152399657
TRIP13,-0.614783757797436,0.538697537087517,0.799927352125469
VASH1,-0.393658520282855,0.693833169576962,0.881927685513878
KRT14,-2.05556544967558,0.0398244209494985,0.234988729221122
KRT20,-3.08067786918824,0.00206529956899155,0.0501144322062635
HSD17B10,2.01280147617218,0.044135518571232,0.247718524493564
FGF4,0.849218717038071,0.395759600173924,0.70446599596081
ST6GAL1,1.21789185544278,0.223265071643971,0.548359957012757
TIMM21,1.15735718009449,0.247126460907077,0.57187485588078
BPIFB2,2.36398360741331,0.018079612547657,0.156880321084032
REXO1,-0.486969325205957,0.626280069186711,0.851768219621363
MKRN2,1.46065374445388,0.144110489061268,0.438088319053656
GPATCH1,0.194843404589564,0.84551554147472,0.946160468265511
KEAP1,1.64171699161995,0.10064866862589,0.373492277874784
P2RY10,-1.01543539474674,0.30989832814716,0.634876390411694
TNS1,-0.3194877861291,0.749356651746051,0.906374298048783
NGFR,0.767594602769895,0.442728069908098,0.739888574609791
NTN1,0.343862659482469,0.730949574756453,0.898672036723105
ISOC1,1.40715915192355,0.159380201162277,0.462085371805712
MNT,-0.0977551656112397,0.922126709457963,0.974300164637596
AP3M2,0.671626843617976,0.501821284679336,0.778990239992392
LAPTM4A,-0.343340939565626,0.731341985232674,0.898738351095923
PTPN18,0.633557782017074,0.526369460236621,0.793877952145239
STK10,1.30221339561225,0.192843447185719,0.510751541737469
TBX21,1.46275611187617,0.143534126136015,0.437156078643118
MRPS34,0.575300858975096,0.565087840688209,0.818178544860668
MAP2K5,-0.0708600352653475,0.943509150622053,0.979526024622613
TIGAR,0.403367814480529,0.686677660484847,0.878620003062747
FGF20,1.75982047446085,0.078438250428086,0.328104671274541
MTMR7,-1.00400437346422,0.315376505558012,0.639769951443119
CPB2,0.0747203222080079,0.940437238088078,0.978400267694593
FAM107B,1.59818320973558,0.110002209321069,0.388890542984001
CDK13,0.828679457471709,0.407285812927255,0.712464465976461
TSPAN32,1.35664859242162,0.174892894052857,0.485916852880145
TRAM2,2.90483723890131,0.00367444121763219,0.0683800432796788
CLDN18,-1.04484813213808,0.296093165170313,0.622165160113729
NDUFB4,2.97043226159855,0.00297380980690577,0.0608548776545219
HEATR6,3.59147056974114,0.000328817313169371,0.0189672591785136
ERLEC1,0.920878612523612,0.357113805971098,0.673531691948525
TMEM131,-1.17690551962413,0.239233218763888,0.564937535393918
TMEM38A,0.689725541800479,0.490366800383253,0.772965815286507
ACTR6,-1.50736473656082,0.131717192425323,0.420856292533425
FAP,0.00954254193991487,0.992386268666701,0.997062606750959
DMRT3,-0.238929398257158,0.811160329129947,0.932158651178115
GAL3ST2,0.383469540173995,0.701371650757561,0.886046353804356
UHRF1BP1,1.50578134835439,0.132123312910997,0.421237734082052
OSTM1,0.298829364350155,0.765070244577609,0.91365384177105
SLC13A1,-1.1908300060862,0.233720326718477,0.559086891348847
HSPB11,1.57298904383859,0.115721355142956,0.396286728687731
STRADB,1.97774782009911,0.0479571626514963,0.259718559778852
DLG3,-1.82658769664395,0.0677617846348747,0.305917669141775
PLOD1,-1.0139160325274,0.310622820481819,0.635520927713145
