"gmtNames","gmtDriver"
"REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE","Unclear"
"REACTOME_ACETYLCHOLINE_BINDING_AND_DOWNSTREAM_EVENTS","Unclear"
"REACTOME_NEF_MEDIATED_CD8_DOWN_REGULATION","Both"
"REACTOME_EGFR_DOWNREGULATION","Unclear"
"REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES","Unclear"
"REACTOME_CYTOSOLIC_SENSORS_OF_PATHOGEN_ASSOCIATED_DNA","Herbivore"
"REACTOME_SIGNALING_BY_CYTOSOLIC_FGFR1_FUSION_MUTANTS","Both"
"REACTOME_FGFR1_MUTANT_RECEPTOR_ACTIVATION","Both"
"REACTOME_FGFR2_MUTANT_RECEPTOR_ACTIVATION","Unclear"
"REACTOME_ORGANELLE_BIOGENESIS_AND_MAINTENANCE","Carnivore"
"REACTOME_SYNTHESIS_OF_PYROPHOSPHATES_IN_THE_CYTOSOL","Carnivore"
"REACTOME_SYNTHESIS_OF_IP2_IP_AND_INS_IN_THE_CYTOSOL","Both"
"REACTOME_SYNTHESIS_OF_IP3_AND_IP4_IN_THE_CYTOSOL","Both"
"REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT","Unclear"
"REACTOME_DOWNSTREAM_SIGNAL_TRANSDUCTION","Both"
"REACTOME_SIGNALING_BY_PDGF","Unclear"
"REACTOME_ACTIVATION_OF_TRKA_RECEPTORS","Unclear"
"REACTOME_NGF_INDEPENDANT_TRKA_ACTIVATION","Unclear"
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21","Unclear"
"REACTOME_SIGNALLING_TO_ERKS","Both"
"REACTOME_SIGNALLING_TO_P38_VIA_RIT_AND_RIN","Unclear"
"REACTOME_DIGESTION_OF_DIETARY_CARBOHYDRATE","Unclear"
"REACTOME_CELLULAR_HEXOSE_TRANSPORT","Unclear"
"REACTOME_METABOLISM_OF_PORPHYRINS","Herbivore"
"REACTOME_HEME_BIOSYNTHESIS","Herbivore"
"REACTOME_HEME_DEGRADATION","Herbivore"
"REACTOME_SIGNALING_BY_FGFR","Unclear"
"REACTOME_FGFR3_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR3B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR1C_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2C_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_FGFR2B_LIGAND_BINDING_AND_ACTIVATION","Unclear"
"REACTOME_GAP_JUNCTION_ASSEMBLY","Unclear"
"REACTOME_TRANSPORT_OF_CONNEXONS_TO_THE_PLASMA_MEMBRANE","Unclear"
"REACTOME_GAP_JUNCTION_DEGRADATION","Both"
"REACTOME_PRE_NOTCH_PROCESSING_IN_THE_ENDOPLASMIC_RETICULUM","Unclear"
"REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI","Both"
