,Background...Omnivore.Rho,Background...Omnivore.P,Background...Omnivore.p.adj
FAM78A,1.67704274578448,0.0935341233475502,0.44837055221193
TMEM254,1.00021139414674,0.317208216286284,0.708491067768005
CD40,-1.26851681224241,0.204613450722892,0.605528393357881
KLF17,-3.69206761426262,0.000222438306142124,0.0485228630419353
CCDC24,-1.03650440184596,0.299966886912478,0.697155729504804
SFTPA2,0.69351750985201,0.48798484122106,0.819584394588027
MMP9,1.49487654112935,0.134946665658443,0.520414954318609
ZCCHC24,NA,NA,NA
FIBCD1,-0.0599628320855576,0.952185237097622,0.987674054706519
IPO13,0.240210116503309,0.810167371417036,0.945436418977888
ABL1,0.208602050913445,0.834758909401199,0.953429258377811
EXOSC2,-0.82665827332007,0.408430778159519,0.769651531262915
POLR3A,0.525573713998738,0.599184424247614,0.868592739962611
DLG5,0.0278639449054956,0.97777066506787,0.994363760769863
KDM4A,-0.325641121203642,0.744695896318799,0.923051540778354
NCS1,-1.11114082099207,0.266507739331264,0.670238801260452
PCIF1,-0.502933076826907,0.615011324765313,0.876195246886125
USP20,0.667553866029952,0.504418414630778,0.828807936317744
PLTP,1.15829587828384,0.246743312831618,0.650407281268343
HYI,0.495912587262268,0.619956085000164,0.878213006798132
LRRC73,-0.46679968893312,0.640643198431909,0.886699394226572
TJAP1,-1.37419164239012,0.16938219469164,0.568867944475603
C9orf78,-1.46605490020418,0.142633330934981,0.531879495499039
DNAAF6,0.389344795702027,0.697021103135395,0.907817938747832
ELOVL1,0.464214084599743,0.642494371193922,0.887110471536569
NUP62CL,0.49840020067278,0.618201995367706,0.877678805394165
PRRX2,NA,NA,NA
MPL,-0.916761743880223,0.359267503430857,0.736968984912056
TIE1,0.559488916168998,0.57582809355076,0.858492647492417
RBM41,-0.740561415661587,0.458959410108903,0.802708053770711
CTSA,-0.416186161298964,0.677273785369164,0.900304755630818
NTMT1,-0.659890315129575,0.509324219699832,0.831443325004733
IER5L,-0.921544488688526,0.356766225225739,0.735261258686781
ZNF691,-1.11033426773672,0.266855011783048,0.670351758453634
ERMAP,0.0910882122709054,0.927422498949126,0.980770385172792
NEURL2,-0.34010603525356,0.733776676940636,0.919573242312462
SPATA25,0.628144925059367,0.529909005417964,0.840827941117053
ZSWIM1,1.00977709039652,0.312602098544952,0.706558749417954
ZNF503,0.318873750293059,0.749822250277906,0.925730671177921
C1orf50,0.0156783792400501,0.987490975745211,0.997405258357834
ABCC10,-0.258638029702994,0.795914537890719,0.941741081848588
COMTD1,-0.87460209547905,0.38179044722097,0.753926195325567
DOLPP1,1.34578740626512,0.178371088062863,0.578715251812778
RADX,1.3592935104255,0.174053599644726,0.574120901752567
SH3GLB2,-0.702705547395385,0.482239269848996,0.817353189896173
TNNC2,NA,NA,NA
