,Background...Herbivore.Rho,Background...Herbivore.P,Background...Herbivore.p.adj
TGS1,-2.23892262361563,0.0251609511720932,0.171739970240593
USP2,2.33543699650346,0.0195206036166104,0.15012486608357
HTR3B,1.25196092941115,0.210584101061068,0.514462302622375
SORL1,0.642412476019191,0.52060540124908,0.7776404886504
MMP7,0.558416421032576,0.576560062202477,0.811109235959365
MMP20,-3.12403477993914,0.00178389369335048,0.0371751425521899
MMP27,1.41247153736975,0.157811165619569,0.449122850252904
DCUN1D5,NA,NA,NA
FDXACB1,-0.583526968796094,0.559538607506324,0.801415806906507
FDX1,-1.60598254035946,0.108277746211061,0.369283073965597
MMP13,-0.185510632305464,0.85282854163009,0.945508474164112
UNC13C,-1.26542344235578,0.205719576160007,0.508477957953882
CTDSPL2,-2.65813928110292,0.00785734131560354,0.0900438229692665
THBS1,0.550940916056734,0.581674177872437,0.813160053284762
NDUFAF1,-1.34401488190807,0.178943574594425,0.47815075587189
KIF23,-0.558749412911956,0.57633275116016,0.811109235959365
HAUS2,-0.635736604259082,0.524948114003209,0.780686146914167
RPLP1,NA,NA,NA
TUBGCP4,-1.390099802428,0.164498573292351,0.458061993660219
RMDN3,0.574420198750465,0.565683487678448,0.805325580534616
ITPKA,0.0688058091643589,0.945144194004656,0.978975843640712
PLCB2,-0.690246046949358,0.490039470583883,0.758035709256786
TMEM62,-1.57838485373136,0.114477222677113,0.380299489202125
ADAM10,-1.25486255377559,0.209528659673211,0.513358804309593
BCL2L10,-0.863377811517789,0.387929774879641,0.685099305595551
RSL24D1,1.85183889622395,0.0640489604057129,0.280907604026072
GCHFR,1.98747899601085,0.0468693412398446,0.238481308019034
MNS1,-0.139896465790622,0.888741793720202,0.959947568903497
TTLL7,-0.995161901170858,0.319657528255973,0.625490685873918
KYAT3,-1.39269233318131,0.163712848021482,0.457107764123245
ARHGAP29,-2.08412698389707,0.0371486181518501,0.211164642842835
RTCA,0.055119323856853,0.956043401334632,0.984087847998058
IFT172,1.80564401764892,0.0709739623705197,0.29677878233074
SELENOI,0.227403345246419,0.820110119294157,0.932260900860911
CGREF1,0.0576498139426767,0.954027569834599,0.983107032754209
KHK,0.00741703443398262,0.994082116997723,0.997790749304862
DYNC2LI1,-0.993851627108681,0.320295107387168,0.626089724852527
PREB,-0.848625744252982,0.396089577080109,0.691749183963321
SLC3A1,-1.08394591896702,0.278388778200944,0.59053640322664
SIX3,0.991196121070675,0.321589824282114,0.627648274770457
LRPPRC,-0.223709316159468,0.8229834964128,0.933498611509104
LOXL4,0.0248372501118767,0.980184778922507,0.993264425606982
BTBD16,0.720030216314477,0.471506391499882,0.744830080786429
KIF11,-1.53032788520276,0.125935589308867,0.399651118361109
ARL3,NA,NA,NA
EXOC6,-0.38379111768967,0.701133271923021,0.878736263882963
DBR1,-1.22752811686124,0.219624160657948,0.524069362364651
TOPBP1,-1.02386171360806,0.30590059621589,0.612574093588461
DNAJC13,0.542219841073743,0.587667068541091,0.817153546171601
GPR87,-1.87204500616978,0.0612003772624287,0.27517408544773
BARD1,-1.78854612137099,0.0736879415535239,0.302190548916378
MSTN,-1.00813620095299,0.313389080729008,0.619400443104468
ASNSD1,0.159497158065513,0.873277197192936,0.954274327528929
SSB,-0.881938002368088,0.377810334909786,0.677762319700461
PPIG,1.02792541036804,0.303984915596084,0.610961569954518
CRYGB,0.406396414818107,0.684451353521453,0.870292709669011
CHRNA1,0.362214778152869,0.717191536945959,0.888407186341101
WDR12,-0.820487898926646,0.411938024946813,0.703178622598875
ABI2,-0.0761698998866587,0.939283929510301,0.976321873127672
ITGAV,0.00262722356183292,0.997903781293693,0.999027621259376
SLC40A1,-1.48856309226621,0.136602456549915,0.417459317165282
COL8A1,0.680061536457553,0.496465497710321,0.761844815618549
SLC49A4,-0.12153608130773,0.903266437759331,0.96447714218272
GUCA1C,0.387891604239977,0.69809625150044,0.877616089522756
CCDC54,1.49564416941035,0.13474640646003,0.414471402673631
WBP11,-0.352440016007867,0.724508296256638,0.890578279895097
