	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj	Herbivore...Omnivore.Rho	Herbivore...Omnivore.P	Herbivore...Omnivore.p.adj	Insectivore...Omnivore.Rho	Insectivore...Omnivore.P	Insectivore...Omnivore.p.adj	Herbivore...Vertivore.Rho	Herbivore...Vertivore.P	Herbivore...Vertivore.p.adj	Insectivore...Vertivore.Rho	Insectivore...Vertivore.P	Insectivore...Vertivore.p.adj	Omnivore...Vertivore.Rho	Omnivore...Vertivore.P	Omnivore...Vertivore.p.adj
AFF4	2.273051084	0.13813861	0.961446734	0.07136659	1	1	-2.319650129	0.12215887	1	1.069986823	1	1	-0.560474088	1	1	1.049555509	1	1
XPO5	1.019967993	1	1	0.440675367	1	1	-0.641307239	1	1	1.412654038	0.946544832	1	0.68271624	1	1	1.151068044	1	1
SEMA3A	0.047836179	1	1	0.70977764	1	1	0.649451892	1	1	-0.416158775	1	1	-0.445562745	1	1	-0.882471721	1	1
NRP1	1.018543142	1	1	0.006023787	1	1	-1.07647205	1	1	0.622605149	1	1	-0.030760359	1	1	0.634251218	1	1
COL6A5	-1.481345891	0.831086554	1	0.644062975	1	1	2.119456494	0.204311441	1	-1.94010303	0.314203019	1	-0.648710392	1	1	-2.480453566	0.078729212	1
APBA1	0.619977073	1	1	0.505706312	1	1	-0.160255892	1	1	-0.097886294	1	1	-0.594632766	1	1	-0.496836002	1	1
PIP5K1B	-1.603445395	0.653018134	1	1.175255728	1	1	2.88753037	0.023296747	0.493649281	-0.822296283	1	1	0.439971037	1	1	-1.757015329	0.473491178	1
HIBADH	0.469890888	1	1	-0.877943865	1	1	-1.323307403	1	1	0.389323387	1	1	0.102550719	1	1	0.892623289	1	1
STAP1	-0.657210127	1	1	-0.042828997	1	1	0.659164972	1	1	-1.964834724	0.296600219	1	-1.402644277	0.96433765	1	-2.008329879	0.267649493	1
ADGRF5	3.307501046	0.005647942	0.19438078	2.382352145	0.103214631	1	-1.200074517	1	1	1.953053518	0.304879524	1	-0.664339218	1	1	0.239993638	1	1
NBN	0.315154409	1	1	0.321387538	1	1	-0.026327996	1	1	-0.064234252	1	1	-0.306706905	1	1	-0.304682862	1	1
TFEC	1.464627561	0.85813535	1	1.008794238	1	1	-0.583662411	1	1	0.999563612	1	1	-0.050681136	1	1	0.354268482	1	1
NRXN2	-1.922465347	0.32728338	1	-1.087641892	1	1	1.011247577	1	1	-0.080940303	1	1	1.431769342	0.913259063	1	0.74184836	1	1
PRDX5	2.145943343	0.191264995	1	0.008867176	1	1	-2.224787059	0.156573219	1	0.434953322	1	1	-1.150829712	1	1	0.438274944	1	1
POLA2	0.217275082	1	1	0.456047012	1	1	0.209772442	1	1	-1.970713865	0.292539682	1	-2.097332511	0.215784905	1	-2.36684789	0.107641827	1
BLVRA	1.086686241	1	1	0.667921223	1	1	-0.499119317	1	1	1.438383778	0.901951157	1	0.620689847	1	1	1.011334648	1	1
KIF9	0.637917779	1	1	-0.511317738	1	1	-1.163633982	1	1	-1.470008972	0.849355944	1	-1.936416278	0.316900425	1	-1.140241668	1	1
USP4	1.799013198	0.432099558	1	1.402716177	0.964208949	1	-0.534615178	1	1	1.241605095	1	1	-0.087814825	1	1	0.293811399	1	1
PTPN23	-2.224732306	0.156595285	1	0.412162118	1	1	2.651668824	0.048057036	0.686606138	-0.180954469	1	1	1.59117508	0.669421076	1	-0.497059476	1	1
PRKAR2A	1.890992852	0.351751791	1	1.541721506	0.738847702	1	-0.467104902	1	1	1.796234272	0.434743598	1	0.589760107	1	1	0.895823775	1	1
SCAP	-0.360404685	1	1	1.442222755	0.895437259	1	1.740747113	0.490367496	1	0.561689561	1	1	0.813840615	1	1	-0.440219815	1	1
CLCN2	1.099085399	1	1	1.457833646	0.86931841	1	0.231352673	1	1	1.19552092	1	1	0.447065455	1	1	0.314375662	1	1
MCCC1	2.146548026	0.190975688	1	0.281464267	1	1	-2.011582972	0.265583495	1	1.364957202	1	1	-0.158109671	1	1	1.219343789	1	1
LAMP3	2.134815092	0.196656702	1	0.023321303	1	1	-2.178004679	0.17643413	1	1.071589786	1	1	-0.740747253	1	1	1.076650481	1	1
ALDH8A1	0.135520982	1	1	1.038717723	1	1	0.845581979	1	1	-0.202020202	1	1	-0.295234416	1	1	-0.9249965	1	1
