,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
METTL9,-2.23203951219811,0.153674109581413,0.7887351088098,0.627870936798893,1,1,2.64577202845284,0.0489028346513491,0.439498734123474,-0.614261533017401,1,1,1.17321319823827,1,1,-1.06866863667616,1,1
S1PR3,-0.754843780485418,1,1,0.101644589161252,1,1,0.831025627177177,1,1,0.572620067438354,1,1,1.12609797983097,1,1,0.488293836915678,1,1
GRAMD1C,1.90622491321401,0.339726187646855,1,2.79867395105633,0.0307877533643891,0.720936319074951,0.549927408736218,1,1,1.53589522206781,0.747384481043956,1,-0.0476435276493096,1,1,-0.509873611277531,1,1
EPHB4,1.09282471498555,1,1,0.341232734523026,1,1,-0.773782966963812,1,1,2.64282941836259,0.0493298668311536,0.489217536846844,1.67916712728964,0.558716859760696,1,2.3804944889905,0.10373651790041,1
CTSE,-0.231486536278178,1,1,0.108377416294705,1,1,0.340583883044295,1,1,-0.648864793861636,1,1,-0.432611038225867,1,1,-0.750103535606402,1,1
BDH1,-0.0926528446325531,1,1,-0.112668077392264,1,1,-0.00805168719968462,1,1,0.277907644966735,1,1,0.326677278341976,1,1,0.351855528761016,1,1
GAD1,0.763439007254715,1,1,1.02123868246677,1,1,0.180550865758127,1,1,1.77349325832151,0.456882048148682,1,1.12570754931291,1,1,1.0300938470019,1,1
RABEP2,1.13930875209463,1,1,-0.89999344326566,1,1,-1.94556710711621,0.310240568252674,1,0.197065043622996,1,1,-0.709495327376915,1,1,0.883000251530199,1,1
TES,-0.400974282998386,1,1,0.270354807929998,1,1,0.636271921056906,1,1,1.29304583264972,1,1,1.51504004773042,0.778573575582627,1,1.08701103436975,1,1
DMAC1,-0.268970120548932,1,1,-1.02916914817547,1,1,-0.683868648345492,1,1,2.19492662465726,0.169013169609745,0.994458478295904,2.31027217196029,0.125238543402923,0.976942402467054,3.01397764950028,0.0154708080424742,0.45946373097331
NF1,0.220712893815658,1,1,-0.0508509013372295,1,1,-0.267182519392438,1,1,0.409841738738568,1,1,0.210175289870729,1,1,0.449299722289387,1,1
HSD17B11,0.969141371751349,1,1,2.04104179900423,0.247480035430578,1,0.820159753751188,1,1,3.23393969583383,0.00732571398234223,0.161293854211803,2.28714278873321,0.133124940392947,1,1.77361286490991,0.456763249407157,1
FAM217B,-1.99190352472878,0.27828986502637,1,0.694331896016903,1,1,2.60448307977407,0.05520777845003,0.473666569101621,-3.7587241896117,0.00102469183198801,0.0471200085332592,-1.95150341679882,0.305983140924092,1,-4.26986541543069,0.000117354573006939,0.0590841156898933
PAK4,0.656125104619927,1,1,-0.280760630420506,1,1,-0.914168486508803,1,1,0.18497188442903,1,1,-0.3269166965958,1,1,0.392597170619162,1,1
ZC3HC1,1.29051895072276,1,1,-0.51506920734788,1,1,-1.74711186645857,0.483707612456713,1,-0.395360412478865,1,1,-1.36750164178616,1,1,-0.0157703452032331,1,1
CX3CR1,0.573469526928564,1,1,1.40282314630296,0.964017497986489,1,0.701315207130166,1,1,1.13548188149262,1,1,0.612107050291448,1,1,0.052285426291612,1,1
SUSD2,-1.22060611315718,1,1,-0.951536235890076,1,1,0.355085300623584,1,1,2.10029523238667,0.21421727046658,1,2.95589448357062,0.0187058236952836,0.389391571538961,2.8371463873521,0.0273112421318639,0.599218162467948
WDR55,0.553015164216839,1,1,-0.83088283966482,1,1,-1.2818182481367,1,1,0.216001107565402,1,1,-0.218421033555529,1,1,0.817274216060669,1,1
HNRNPAB,-1.76299272930571,0.467410295645045,1,-0.466796703492261,1,1,1.31952864850868,1,1,1.54700602359474,0.731170758909375,1,2.7390168666877,0.0369739271569232,0.54937136506595,1.85486407265009,0.38169383744299,1
FRYL,0.78624558303192,1,1,-2.56850757658968,0.0612824876165699,0.995346210159449,-3.08502318470507,0.0122121771868868,0.185578406849019,-0.103024226766441,1,1,-0.71543507450345,1,1,1.82171797234282,0.410986737173277,1
RHOT1,0.188710613768821,1,1,-0.538146704784967,1,1,-0.65127885473191,1,1,0.974088034500709,1,1,0.775236057255844,1,1,1.31451064677411,1,1
XAB2,-1.62923493519667,0.619579764094466,1,-0.396522818571093,1,1,1.24484781715129,1,1,-1.11999666847593,1,1,0.151056772534573,1,1,-0.821744016712209,1,1
MIGA2,0.40536374038287,1,1,1.35908689840029,1,1,0.845748614146708,1,1,-0.610729088486354,1,1,-0.894148547595362,1,1,-1.61772264808008,0.634334297211166,1
WTAP,-1.22270293781098,1,1,0.463924825210171,1,1,1.59706209428158,0.661511199564387,1,1.59735342429691,0.661121689966418,1,2.46497268380308,0.0822142183731046,0.786647443489276,1.19510194077642,1,1
DCAF4,0.31790336073264,1,1,3.04477768470798,0.0139711417631098,0.504057492224764,2.43638547503656,0.0890091973534831,0.629734859964573,3.87178863027215,0.000648237740304323,0.0353465084099513,3.42070044975076,0.0037476052495017,0.20080926562952,1.63961455275169,0.606512011910163,1
ATL1,0.00988952357970243,1,1,-0.964601136438926,1,1,-0.9118333346464,1,1,2.08985019960314,0.219787549868566,1,2.00867068029804,0.267432420541202,1,2.74305790751336,0.0365219701140285,0.681022020496649
TXNDC15,1.84183051559146,0.392999669498229,1,0.739122028838731,1,1,-1.11894432465173,1,1,-0.940795542736972,1,1,-2.28089660454462,0.135327395578481,1,-1.46086039661559,0.864322541817537,1
COL11A1,-0.817191498428935,1,1,0.259118491430911,1,1,1.04658156697208,1,1,2.75566610456997,0.0351436533721769,0.405198275216305,3.20705164965488,0.00804617498891468,0.27683240781906,2.56516044923165,0.061876862390137,0.857420302330853
DNA2,3.25243986859587,0.00686512815569761,0.11709320594218,-1.20211052911829,1,1,-4.27372224606745,0.000115341890148789,0.0101885336298097,0.125791123964456,1,1,-2.41619644753583,0.094101583224728,0.835082440085953,1.02407759460276,1,1
ITIH2,2.8886258478285,0.0232157498282465,0.251920906002632,1.86003532954865,0.377283166040344,1,-1.22358076172654,1,1,0.553836045492099,1,1,-1.74389034242351,0.487069277834241,1,-0.839675610051205,1,1
EPHA2,-1.22035971839942,1,1,0.763312921906089,1,1,1.87342911778989,0.366054913765138,1,1.15789918553234,1,1,2.02032611176088,0.260097432182345,1,0.572049323514179,1,1
TRIM33,-1.50673729243644,0.791268051570871,1,-1.50224820957239,0.798198110922159,1,0.0909314909297984,1,1,0.0273572779614446,1,1,1.16608527136112,1,1,1.13355456811021,1,1
STAT4,-2.07706041077904,0.226775903429267,0.994325115036017,-0.991024413045045,1,1,1.16468300480403,1,1,-1.58496776622049,0.677841948732713,1,0.145012548638757,1,1,-0.825071475269067,1,1
CASP8,0.262965317508807,1,1,-0.56525609234851,1,1,-0.770025090762141,1,1,1.41757848447125,0.937883192377032,1,1.10695324590475,1,1,1.86446987696772,0.373534487747437,1
PPP1CB,0.177931902244894,1,1,-0.0812296677425611,1,1,-0.225841690718564,1,1,2.68847537539067,0.0430674777562937,0.457770009874075,2.16005019437068,0.184612704275519,1,2.47730287746325,0.0794277066848694,0.948360538947247
COL6A6,0.708724992059943,1,1,2.66958338662847,0.0455672477374615,0.879706481660426,1.65756841222721,0.584427658780238,1,2.87421314118641,0.0243021312666782,0.323685529675404,2.13199517365164,0.198043459944952,1,0.900685893187203,1,1
PSMB10,-0.95310359400492,1,1,0.360491765171723,1,1,1.26715187157557,1,1,-0.396014954857215,1,1,0.334513903668283,1,1,-0.651404274974633,1,1
PATE2,0.474763835197777,1,1,1.64208794121641,0.60343068228845,1,1.01134758777422,1,1,2.100393401813,0.214165493788447,1,1.5796979800512,0.685056290684959,1,0.792297577269563,1,1
SLC6A20,4.1705946209703,0.000182283526203571,0.0107976182874704,1.98756222901685,0.281160762915806,1,-2.34870712644362,0.113032308901839,0.730887425497553,1.33268130104174,1,1,-1.99518068317932,0.276139062354421,1,-0.167030306049182,1,1
AKAP4,0.430813393857522,1,1,2.52259074738395,0.0698963330090939,1,1.81256392356826,0.419394637778892,1,0.637407701584455,1,1,0.243367363420981,1,1,-1.30794700793524,1,1
ARHGAP19,-1.70054183160078,0.534174329533093,1,0.900055455856954,1,1,2.49710425739213,0.0751272824498125,0.568535872447103,1.31450615646926,1,1,2.549350917452,0.0647541859012625,0.70617128076005,0.636915536733885,1,1
PTPN5,1.1507307042587,1,1,2.72357089344041,0.0387482121843998,0.807298958683254,1.25180689627971,1,1,0.548788327888122,1,1,-0.401881069655874,1,1,-1.50070277552563,0.800594729268432,1
ALKAL1,-2.27125400250556,0.138789636041029,0.744202148526711,-3.41257638455743,0.00386111336982563,0.286858753920868,-0.24513665883449,1,1,-3.08757190902511,0.0121079365131096,0.213783043472504,-0.650723628677977,1,1,-0.539678903256908,1,1
VPS13B,0.124910480394499,1,1,-2.17298151967909,0.178690249272162,1,-2.08936532373911,0.220049101251812,1,-0.364083578985666,1,1,-0.440209450591645,1,1,1.23851342066707,1,1
PFN3,-2.09752904370132,0.215680613500622,0.964622999789556,-0.83744328663909,1,1,1.25136900736079,1,1,-0.412320405982489,1,1,1.20980266447445,1,1,0.219198556670378,1,1
