	Herbivore...Insectivore.Rho	Herbivore...Insectivore.P	Herbivore...Insectivore.p.adj														
LCAT	-1.052032542	1	1														
CDH3	1.97379682	0.290429104	1														
NECTIN1	0.000295148	1	1														
SC5D	0.334864731	1	1														
TREH	-0.551731807	1	1														
UPK2	-0.002197581	1	1														
CBL	-0.441512271	1	1														
MCAM	0.028546006	1	1														
GPC1	-2.625273095	0.051947696	0.586437912														
FARP2	0.97693919	1	1														
SLC5A7	1.745544932	0.48534035	1														
NGEF	-0.758618221	1	1														
DGKD	-1.624441611	0.625689554	1														
DNAJC10	1.290891688	1	1														
TUBB4A	-2.023025353	0.258423202	1														
MCOLN1	-0.427691218	1	1														
GPR108	1.754932256	0.475625376	1														
DGUOK	0.363441941	1	1														
LOXL3	0.973406702	1	1														
LAMC2	0.686076631	1	1														
OSGEPL1	1.353457055	1	1														
MCM6	-1.646338004	0.598165135	1														
CCNT2	0.939560822	1	1														
RAB3GAP1	2.218329198	0.159194368	1														
ZRANB3	1.10168488	1	1														
LCT	3.763266301	0.001006251	0.083683578														
AGPS	1.881384249	0.359518008	1														
ORC4	0.83272574	1	1														
KYNU	2.602709981	0.055494094	0.609191204														
ARID4B	2.754919444	0.035223953	0.479723864														
NID1	-0.220877022	1	1														
CYTIP	-0.182648363	1	1														
MUL1	-1.703698811	0.530624222	1														
NMU	-1.150055184	1	1														
PPAT	-0.446691213	1	1														
SRD5A3	-0.459352732	1	1														
NOA1	3.660082078	0.001512807	0.103052048														
UPK1B	0.613848845	1	1														
ARHGAP31	2.776339993	0.032984812	0.463607724														
CD80	-0.490897943	1	1														
CHST10	2.623792613	0.052174029	0.587950516														
PDCL3	2.052879265	0.240505731	1														
IL1RL2	2.213301658	0.161261132	1														
IL18RAP	2.201259538	0.166305933	1														
GFM1	3.127766221	0.010568413	0.262335624														
LXN	2.482203762	0.078343552	0.720828604														
ALS2	0.766173383	1	1														
NOP58	-0.126138514	1	1														
OCIAD1	0.326910431	1	1														
SLAIN2	1.37350146	1	1														
TXK	-0.421136445	1	1														
GABRA4	0.807298205	1	1														
TOP2B	0.231636421	1	1														
YWHAE	-0.210818511	1	1														
FAM13A	1.659189376	0.582465827	1														
HERC6	-0.993274097	1	1														
HERC5	-0.533511723	1	1														
NDST4	-2.44602103	0.086665545	0.753977074														
PIKFYVE	0.763985321	1	1														
BCHE	1.011166718	1	1														
SI	2.45276749	0.085057162	0.748863491														
PRKG2	-2.110109535	0.209093533	1														
FNIP2	1.795633103	0.435317326	1														
C2orf42	0.739524232	1	1														
ADD2	-1.004287044	1	1														
SLC30A9	-0.068822275	1	1														
SEC22C	1.10667055	1	1														
CDH10	1.327718075	1	1														
CSTA	-0.441927628	1	1														
BBS7	3.025033969	0.014916312	0.314477351														
KIAA1109	-1.028436208	1	1														
RBBP5	-1.75854778	0.471926096	1														
IFT57	-0.179878466	1	1														
SHC2	2.099833691	0.214460841	1														
PHRF1	-3.495000519	0.002844365	0.136308283														
AGA	1.842576949	0.392344812	1														
NEIL3	1.379601257	1	1														
RAB17	-0.920366586	1	1														
MLPH	-1.537026011	0.74572164	1														
CP	2.336350283	0.116837957	0.88402528														
CNTNAP1	-1.520203093	0.770759641	1														
CASC3	0.758160626	1	1														
KRT24	1.40800771	0.954772723	1														
STAT3	-1.65659574	0.585607405	1														
KCNH4	0.266605691	1	1														
NNT	-0.064613953	1	1														
MTRR	-0.876181175	1	1														
FASTKD3	0.023472711	1	1														
NSUN2	-0.725327607	1	1														
UFSP2	-0.292080886	1	1														
KLKB1	0.813070715	1	1														
CAD	0.835857592	1	1														
DNMT3A	0.585160422	1	1														
KIF3C	-0.478555796	1	1														
GPN1	0.32124788	1	1														
GTF3C2	-0.522838551	1	1														
TMEM40	0.072787802	1	1														
CLDN16	4.136974458	0.000211149	0.036490883														
PLAAT1	-0.276507103	1	1														
ITGA9	1.794843013	0.436072293	1														
ADD1	-0.491198719	1	1														
TMEM175	-0.893029895	1	1														
PLPP1	-0.912434637	1	1														
SLC2A9	2.05339606	0.240205087	1														
PRDM5	0.583809469	1	1														
MIER2	0.11639748	1	1														
LYL1	0.741375598	1	1														
COL5A3	2.232212367	0.153605583	1														
ICAM1	0.180939109	1	1														
KLF1	1.58129762	0.682860021	1														
C3orf52	0.342992551	1	1														
PI4K2B	1.351025388	1	1														
PPARGC1A	0.593776654	1	1														
F13A1	0.084447442	1	1														
CXCL9	-0.463933236	1	1														
SCARB2	-2.283225559	0.134502512	0.950708218														
USO1	0.382534067	1	1														
ANXA3	2.523405993	0.069734479	0.680458889														
ARSB	3.895443979	0.000588114	0.062408708														
RAD18	1.038052346	1	1														
SLC12A7	-0.643245464	1	1														
SDHA	0.360100072	1	1														
PDCD6	-0.772223313	1	1														
CEP72	-1.012759655	1	1														
XRN1	0.197049558	1	1														
GRK7	-0.062768104	1	1														
GRPEL1	-2.271667087	0.138639753	0.961567874														
EVC	0.947581377	1	1														
ZAP70	0.046092712	1	1														
PPP2R3A	1.819611426	0.412909203	1														
CEP70	0.609988809	1	1														
ACAD11	3.891139801	0.000598647	0.063001363														
MRPL3	2.196772395	0.168220233	1														
GALNT7	1.498755821	0.803621937	1														
SOX30	-1.049690014	1	1														
GCNT2	2.784228837	0.032193099	0.459581745														
FAM184B	0.031930516	1	1														
DGKG	1.316376869	1	1														
DEPDC1B	0.264719011	1	1														
ERCC8	0.673046102	1	1														
MGLL	1.732545149	0.499059274	1														
MCM2	2.58415524	0.058570707	0.623395416														
GOLPH3	-0.934710382	1	1														
CDH6	-2.257411004	0.143894429	0.978820327														
NPR3	-0.860285468	1	1														
VCAN	3.100331291	0.011598258	0.271424247														
RASGRF2	0.606029151	1	1														
MSH3	3.633871388	0.0016752	0.105823967														
STC2	1.537429444	0.745129084	1														
THOC3	-0.183256887	1	1														
DNAH5	2.561697096	0.062497272	0.645518257														
WDR70	0.390608584	1	1														
RAI14	0.008571699	1	1														
SLC1A3	-0.594493568	1	1														
AMBP	1.628828967	0.620095384	1														
ARRDC3	0.61566082	1	1														
SLF1	0.666104459	1	1														
CENPE	0.97838826	1	1														
ENPEP	2.398680867	0.098725489	0.806912951														
CASP6	1.672909172	0.566071067	1														
EGF	1.7995543	0.431586255	1														
SEC24B	-1.184066623	1	1														
NME5	2.046935016	0.243986793	1														
PAIP2	-1.846761034	0.38869069	1														
IPCEF1	-0.322399444	1	1														
ANKRD7	2.651565754	0.048071707	0.566837866														
IQCG	2.18797383	0.172029052	1														
LSG1	1.032528734	1	1														
RBM27	-1.117521933	1	1														
SPDL1	4.121470381	0.000225877	0.037534378														
MINDY4	2.266999657	0.14034148	0.968622443														
TRPV5	0.247525628	1	1														
ABCB6	2.190132289	0.171087865	1														
PECR	0.278664886	1	1														
VDAC1	-1.167743008	1	1														
CDKL3	1.243778609	1	1														
FSTL4	1.236565574	1	1														
AFF4	2.273051084	0.13813861	0.961446734														
XPO5	1.019967993	1	1														
SEMA3A	0.047836179	1	1														
NRP1	1.018543142	1	1														
COL6A5	-1.481345891	0.831086554	1														
APBA1	0.619977073	1	1														
PIP5K1B	-1.603445395	0.653018134	1														
HIBADH	0.469890888	1	1														
STAP1	-0.657210127	1	1														
ADGRF5	3.307501046	0.005647942	0.19438078														
NBN	0.315154409	1	1														
TFEC	1.464627561	0.85813535	1														
NRXN2	-1.922465347	0.32728338	1														
PRDX5	2.145943343	0.191264995	1														
POLA2	0.217275082	1	1														
BLVRA	1.086686241	1	1														
KIF9	0.637917779	1	1														
USP4	1.799013198	0.432099558	1														
PTPN23	-2.224732306	0.156595285	1														
PRKAR2A	1.890992852	0.351751791	1														
SCAP	-0.360404685	1	1														
CLCN2	1.099085399	1	1														
MCCC1	2.146548026	0.190975688	1														
LAMP3	2.134815092	0.196656702	1														
ALDH8A1	0.135520982	1	1														
UBXN8	3.072510094	0.012735999	0.287774151														
PON3	1.250474773	1	1														
SLC25A13	-0.757630421	1	1														
NPTX2	-0.892440748	1	1														
CPT1A	3.074847151	0.012636628	0.287774151														
GAL	-3.358068299	0.004709353	0.177866788														
ABCA2	-2.621385729	0.052543869	0.589766269														
TCIRG1	-0.722755007	1	1														
CHKA	-1.251009991	1	1														
ADAM2	2.851186989	0.026133808	0.408840877														
ANK1	4.343149061	8.43E-05	0.024576648														
KAT6A	2.598111488	0.056242832	0.61176517														
DUS4L	0.669924513	1	1														
ABCB4	2.91509186	0.021335032	0.377360719														
ABCB1	0.880411527	1	1														
ADAM22	0.693385954	1	1														
DBF4	1.701531281	0.533059615	1														
SRI	1.162367213	1	1														
ANKIB1	1.799981013	0.431181818	1														
ANLN	-0.43490092	1	1														
EIF4H	0.869233446	1	1														
BUD23	-0.030256299	1	1														
ADAM28	4.842788565	7.68E-06	0.006987119														
SH2D4A	2.37162581	0.106260097	0.843062978														
PDLIM2	-0.139330744	1	1														
FSCN3	1.097372726	1	1														
ZNF800	0.087061405	1	1														
EXPH5	1.289003323	1	1														
ADAP1	-1.519879059	0.771248247	1														
PMS2	-0.192769285	1	1														
HNRNPH3	0	1	1														
CCAR1	1.379627265	1	1														
SQLE	1.183725781	1	1														
SNX19	0.011178402	1	1														
SERGEF	0.464601849	1	1														
PIK3C2A	2.668748881	0.045680609	0.553131009														
FAM160A2	1.58567744	0.676874996	1														
HPX	-1.831805053	0.401882821	1														
BTAF1	0.292541384	1	1														
TCTN3	3.283250316	0.00615705	0.202071848														
DAXX	2.412016342	0.095187422	0.792233096														
MLN	1.738215856	0.493036717	1														
DOCK3	0.694139242	1	1														
ITIH4	1.220810647	1	1														
SLIT1	0.956752959	1	1														
GID8	0.314784795	1	1														
DIDO1	-1.154404969	1	1														
SLC2A4RG	-0.785008529	1	1														
TIMP3	-1.556238415	0.717908459	1														
FBXO7	1.769308143	0.461054792	1														
EIF2B2	0.643823159	1	1														
TTLL8	-1.549375984	0.727748181	1														
MTFP1	2.043755614	0.245866176	1														
B4GALNT3	2.307823657	0.12605368	0.920922292														
ERP27	2.779570144	0.032658538	0.461569172														
ALG10	2.331975601	0.118211849	0.89124315														
ARNTL2	0.822130364	1	1														
ZCRB1	-0.807732914	1	1														
TMEM117	-1.60100729	0.656251827	1														
C1RL	0.619351792	1	1														
NDUFA9	3.64799527	0.001585767	0.104263811														
CLSTN3	1.415161211	0.942127407	1														
KLRG1	1.302136491	1	1														
TAPBPL	2.337276495	0.116548871	0.88241997														
CD27	1.135276318	1	1														
SLC38A4	1.668848227	0.570884773	1														
AMIGO2	-0.777419201	1	1														
INHBE	0.832308964	1	1														
GLIPR1	0.748677016	1	1														
TMEM19	1.272426164	1	1														
LGR5	1.008006901	1	1														
SLC6A15	2.026765661	0.256118303	1														
TMTC3	1.163510265	1	1														
LUM	0.71186345	1	1														
KERA	0.482881568	1	1														
TMPO	1.687832621	0.548660182	1														
AMDHD1	1.23761515	1	1														
SLC15A4	-1.12336496	1	1														
SLC46A3	1.865937698	0.372300496	1														
GPR84	1.073043956	1	1														
NPFF	-0.098003634	1	1														
SMARCC2	0.257796433	1	1														
CSAD	2.343251491	0.114698955	0.878806555														
LMBR1L	-0.122589441	1	1														
MYG1	0.186026353	1	1														
ESYT1	1.63116129	0.617137745	1														
KRT71	-2.189485638	0.171369368	1														
RB1	-0.514992474	1	1														
VPS33A	1.593722942	0.665988621	1														
VPS37B	-0.758690738	1	1														
SRRM4	0.556441587	1	1														
METTL21C	1.23210973	1	1														
ZIC5	-0.640249792	1	1														
RAB20	-0.12280674	1	1														
ANKRD10	1.408281855	0.954285758	1														
SSTR1	-0.507537145	1	1														
REM2	-0.795286411	1	1														
CBLN3	0.371950169	1	1														
TINF2	0.535259626	1	1														
NOP9	0.745477515	1	1														
FANCM	4.037274096	0.000324455	0.045458468														
L2HGDH	2.25136007	0.146176446	0.986962282														
ARMH4	1.13460978	1	1														
GPR65	0.003689847	1	1														
AK7	1.025637502	1	1														
FAM181A	-0.510796087	1	1														
ITPK1	0.002885719	1	1														
TRIP11	0.979061008	1	1														
EMC4	-0.926225915	1	1														
MFAP1	0.600646099	1	1														
SORD	3.390399121	0.004187456	0.171466308														
LYSMD2	1.484407327	0.826205353	1														
SLC27A2	2.054906343	0.23932831	1														
FGF7	-0.117025961	1	1														
HDC	1.376053628	1	1														
MYZAP	-0.356248872	1	1														
RAD51	-0.333254963	1	1														
COMMD4	1.061946446	1	1														
BCL2A1	1.281306785	1	1														
TSPAN3	-0.622397209	1	1														
WDR61	-1.767111535	0.463257306	1														
ARRDC4	-0.932080243	1	1														
CYP11A1	3.137470187	0.010224756	0.258337392														
BBS4	1.039523728	1	1														
PML	-1.590970251	0.669697625	1														
ADAMTS17	0.69119156	1	1														
SCAMP2	0.225523465	1	1														
RHCG	3.031524723	0.01459932	0.312975987														
RLBP1	-0.433995349	1	1														
WDR93	2.707916702	0.040624208	0.522006728														
TICRR	0.057349001	1	1														
MFGE8	-0.180910259	1	1														
ZNF710	0.525247024	1	1														
FURIN	-1.941696901	0.313042825	1														
IQGAP1	-1.279246872	1	1														
CRTC3	-2.472821364	0.080430678	0.727504141														
EFL1	-1.782468419	0.448037261	1														
SEPTIN12	-0.288752074	1	1														
PMM2	-1.268531041	1	1														
PRSS36	0.050907773	1	1														
ITGAX	1.148688213	1	1														
UQCRC2	1.235807341	1	1														
CDR2	-1.667537099	0.572445923	1														
IGSF6	-0.200566645	1	1														
NKD1	0.500403856	1	1														
DHX38	-1.482137107	0.829822902	1														
NUDT7	2.361899566	0.109089403	0.854858126														
CDH13	-0.388473004	1	1														
ADAD2	0.199185325	1	1														
IRF8	2.838216985	0.027219799	0.418114493														
ZNF174	0.00074597	1	1														
RPL3L	0.076157986	1	1														
NDUFB10	0.526171921	1	1														
